time;id
105;1753
282;1102
429;966
24;1581
152;1489
48;1637
214;2946
100;2180
51;1146
43;1424
212;481
94;378
261;2452
198;2620
489;2905
75;1690
1;1701
418;2054
127;2501
460;666
18;1658
145;318
26;2569
138;963
160;1334
250;2720
100;1445
36;231
269;2310
181;1772
108;347
19;2350
339;161
9;2294
1;2297
351;1202
6;2280
251;68
156;492
67;1807
97;875
93;1317
68;348
212;2987
32;464
57;2336
177;2463
444;2047
162;2893
737;3256
431;3360
28;2332
191;2138
357;3190
63;339
169;1463
75;3002
99;1805
223;734
338;1574
79;2477
509;3108
91;3318
165;215
151;89
124;2868
75;1504
93;408
245;304
55;39
82;2431
92;728
389;1083
53;1430
214;918
253;1224
6;1411
329;2583
358;1628
333;2732
129;184
150;1587
13;143
75;735
201;3169
155;3340
68;1291
42;2733
985;827
110;2457
219;2992
130;301
582;1894
82;2541
508;2240
129;53
12;245
293;2051
1;2037
1;1965
272;2359
325;1376
789;994
26;1842
23;52
247;1810
12;1906
46;2970
87;154
329;3409
31;1843
1;1940
276;3107
230;407
554;2622
347;2098
56;2977
55;3443
264;2827
125;841
113;2522
89;178
824;614
135;1404
21;1332
46;201
169;2363
73;835
488;444
188;229
115;377
245;1249
256;2771
308;1681
5;1624
1;1721
345;1502
186;1921
1;1457
81;179
8;1413
1;1434
128;572
304;3195
174;2931
311;705
77;261
163;2586
191;2634
18;1441
36;1683
2;1438
107;801
408;1160
94;336
201;3437
14;1175
216;2154
353;3314
50;2683
30;3394
323;1049
7;3356
78;2937
177;505
95;1420
72;2069
120;615
93;852
317;3098
156;2770
376;50
188;1217
166;1851
1;1942
37;3075
19;17
37;2783
50;1453
446;2400
490;1572
107;2627
24;70
74;585
202;687
44;1603
473;1996
38;27
100;1266
149;507
52;755
249;1663
1;1720
2;1699
1;1722
26;1278
131;1870
170;848
129;1473
262;430
136;2388
218;2955
225;3442
672;929
137;2687
154;2748
307;2526
104;2018
1;1962
107;24
18;2495
295;1161
5;2563
